12-14-2009	184	284
12-07-2009	187	287
11-30-2009	187	286
11-23-2009	199	282
11-16-2009	197	282
11-09-2009	210	281
11-02-2009	209	267
10-26-2009	213	273
10-19-2009	228	296
10-12-2009	230	300
10-05-2009	227	298
09-28-2009	229	296
09-21-2009	226	292
09-14-2009	225	289
08-31-2009	268	332
08-24-2009	263	331
08-17-2009	274	328
08-10-2009	267	303
08-03-2009	266	304
07-27-2009	268	274
07-20-2009	269	271
07-13-2009	269	275
07-06-2009	269	273
06-22-2009	242	234
06-15-2009	236	239
06-08-2009	232	236
05-25-2009	264	237
05-18-2009	257	238
05-11-2009	256	241
05-04-2009	262	334
04-27-2009	317	332
04-20-2009	316	333
04-13-2009	315	335
04-06-2009	328	336
03-23-2009	317	337
03-09-2009	307	335
03-02-2009	307	338
02-23-2009	305	333
02-16-2009	310	332
02-09-2009	335	344
02-02-2009	338	347
01-19-2009	342	351
01-12-2009	342	351
01-05-2009	342	353
12-29-2008	343	355
12-22-2008	340	351
12-15-2008	336	348
12-08-2008	336	347
12-01-2008	338	345
11-24-2008	336	344
11-17-2008	338	341
11-10-2008	352	345
11-03-2008	351	361
10-27-2008	349	361
10-20-2008	349	353
10-13-2008	352	350
10-06-2008	351	350
09-29-2008	353	349
09-22-2008	353	357
09-15-2008	347	354
09-08-2008	347	351
08-25-2008	349	344
08-18-2008	348	346
08-11-2008	365	384
08-04-2008	356	373
07-28-2008	353	490
07-21-2008	349	490
07-14-2008	346	487
07-07-2008	344	483
06-23-2008	493	-
06-16-2008	493	-
06-09-2008	496	-
05-26-2008	500	-
05-19-2008	545	-
05-12-2008	504	665
05-05-2008	579	-
04-28-2008	574	-
04-21-2008	572	-
04-14-2008	572	-
04-07-2008	572	-
03-24-2008	686	-
09-10-2007	732	759
08-27-2007	737	754
08-20-2007	738	748
08-13-2007	735	744
08-06-2007	740	746
07-30-2007	735	745
07-23-2007	747	755
07-16-2007	755	757
07-09-2007	751	751
06-25-2007	729	708
06-18-2007	731	705
06-11-2007	724	689
05-28-2007	724	680
05-21-2007	723	680
05-14-2007	887	805
